implementation_id,structure_id
222,1
227,1
236,1
241,1
249,1
259,1
269,1
279,1
22,2
23,2
24,2
25,2
250,2
260,2
270,2
280,2
26,3
27,3
28,3
228,3
251,3
261,3
271,3
281,3
29,4
30,4
229,4
242,4
252,4
262,4
272,4
282,4
31,5
32,5
230,5
243,5
253,5
263,5
273,5
283,5
33,6
34,6
231,6
244,6
254,6
264,6
274,6
284,6
223,7
232,7
237,7
245,7
255,7
265,7
275,7
285,7
224,8
233,8
238,8
246,8
256,8
266,8
276,8
286,8
225,9
234,9
239,9
247,9
257,9
267,9
277,9
287,9
226,10
235,10
240,10
248,10
258,10
268,10
278,10
288,10
